game_id,win,duration,avg_kda,avg_gold_per_min,avg_damage_champ_per_min,avg_vision_score,baron_kills,dragon_kills,tower_kills
3728226140,1,1573,7.616666666666667,430.64208518753975,810.240305149396,17.4,0,1,11
3728238844,0,1624,0.6799999999999999,287.9778325123153,357.51724137931035,21.0,0,0,0
3728238844,1,1624,8.2,429.45812807881777,592.1083743842365,24.6,1,4,11
3728466817,0,1728,2.50995670995671,364.4722222222222,530.5208333333333,22.2,0,3,3
3728466817,1,1728,4.54,398.90277777777777,629.0833333333333,31.2,1,1,7
3728486699,0,1968,1.64,363.1524390243903,753.469512195122,27.8,1,1,4
3728486699,1,1968,5.497142857142857,414.57926829268297,862.0121951219513,30.4,0,4,10
3728537250,0,1654,1.074112554112554,340.41837968561066,504.8706166868198,27.8,0,1,3
3728537250,1,1654,5.416666666666666,423.48972188633616,733.2043530834341,28.4,1,3,9
3728628840,0,937,0.8333333333333333,317.25080042689433,323.47491995731053,12.0,0,0,1
3728628840,1,937,4.6,402.01921024546425,565.0501600853788,8.2,0,1,4
3728677919,0,2472,2.796111111111111,358.52912621359224,733.1747572815533,34.6,1,4,5
3728677919,1,2472,2.82017316017316,368.65533980582524,708.3058252427184,31.4,0,2,9
3728855683,0,2031,1.9206349206349205,361.60118168389954,574.8301329394387,29.6,0,1,4
3728855683,1,2031,3.878333333333333,399.55686853766616,661.3589364844904,29.6,0,4,9
3728872272,0,1684,1.4438888888888888,379.98812351543944,641.4513064133016,23.8,0,0,5
3728872272,1,1684,3.6266666666666665,421.4251781472684,752.5795724465559,29.6,1,3,9
3728885395,0,1398,1.25,353.9742489270386,682.5236051502145,13.6,0,1,0
3728885395,1,1398,6.04,449.72532188841205,908.0171673819743,12.0,0,2,11
3728895628,0,2138,5.085714285714286,406.45088868101027,1009.33021515435,42.2,0,3,5
3728895628,1,2138,1.6564646464646464,394.97848456501407,826.22076707203,39.0,1,2,10
3728915697,0,1559,1.2555555555555555,403.9820397690827,686.9172546504169,18.2,0,2,3
3728915697,1,1559,5.245238095238095,481.92431045542014,924.5157152020525,23.6,1,2,12
3728936322,0,1696,2.017777777777778,385.4292452830189,694.6061320754718,26.4,1,2,5
